,s3ic_id,rubrique,regime,alinea,date_autorisation,state,regime_acte,alinea_acte,rubrique_acte,activite,volume,unit
243,0065.00322,2345,D,2,2002-01-21,En fonctionnement,D,2,2345,NETTOYAGE A SEC DES TEXTILES OU VETEMENTS,50.000,kg/j
244,0065.00322,2910,D,2,2019-01-08,En fonctionnement,D,2,2910,Combustion,2.300,MW
245,0065.00322,1435,D,2,2019-07-23,En fonctionnement,D,2,1435,Stations-service,7234.000,m3
246,0065.00331,2510,A,1,2014-11-24,En fonctionnement,A,1,2510,Carrières (exploitation de),80000.000,t/an
247,0065.00331,2515,E,a,2009-01-08,En fonctionnement,A,1,89,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",1000.000,kW
248,0065.00331,1432,,,2009-01-08,En fonctionnement,,,1432,Liquides inflammables (stockage),15.000,m3
249,0065.00331,2930,,,2009-01-08,En fonctionnement,,,2930,Ateliers de réparation et d'entretien de véhicules à moteurs,0.000,
250,0065.00342,1432,,,2006-06-14,En fonctionnement,,,1432,Liquides inflammables (stockage),0.400,m3
251,0065.00342,1434,,,2006-06-14,En fonctionnement,,,1434,Installations de remplissage ou de distribution de liquides inflammables,0.400,m3/h
252,0065.00342,2510,A,1,2006-06-14,En fonctionnement,A,1,2510,Carrières (exploitation de),180000.000,t/an
253,0065.00342,2910,,,2006-06-14,En fonctionnement,,,2910,Installation de combustion,19.000,kW
254,0065.00345,1530,,,2009-10-09,En fonctionnement,,,1530,"Dépôts de papiers, cartons ou analogues",479.000,m3
255,0065.00345,2662,D,2,2009-10-09,En fonctionnement,D,3,2662,Stockage de polymères D,222.000,m3
256,0065.00345,2640,D,b,2009-10-09,En fonctionnement,D,b,2640,"Supérieure ou égale à 200 kg/j, mais inférieure à 2 t/j",1540.000,kg/j
257,0065.00345,2515,E,a,2009-10-09,En fonctionnement,E,a,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",644.100,kW
258,0065.00345,1532,,,2019-04-25,En fonctionnement,,,1532,Stockage de bois ou de matériaux analogues,422.000,m3
259,0065.00345,1510,E,b,2009-10-09,En fonctionnement,E,2,1510,Entrepot enregistré,90490.000,m3
260,0065.00348,2714,,,2011-04-12,En fonctionnement,,,2714,"Transit, regroupement ou tri de déchets non dangereux de papiers/cartons, plastiques, caoutchouc, textiles, bois",99.000,m3
261,0065.00348,4511,,,,En fonctionnement,,,4511,Dangereux pour l’environnement aquatique 2,,
262,0065.00348,47xx,,,,En fonctionnement,,,47xx,,,
264,0065.00348,4510,,,,En fonctionnement,,,4510,Dangereux pour l’environnement aquatique 1,,
265,0065.00348,4331,,,,En fonctionnement,,,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
266,0065.00348,4330,,,,En fonctionnement,,,4330,Liquides inflammables de catégorie 1,,
267,0065.00348,4150,,,,En fonctionnement,,,4150,Toxicité spécifique pour certains organes cibles,,
268,0065.00348,4140,,2,,En fonctionnement,,2,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
269,0065.00348,4140,,1,,En fonctionnement,,1,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
270,0065.00348,4130,,2,,En fonctionnement,,2,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
271,0065.00348,4130,,1,,En fonctionnement,,1,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
272,0065.00348,4120,,1,,En fonctionnement,,1,4120,Toxicité aiguë catégorie 2,,
273,0065.00348,4110,,2,2009-12-15,En fonctionnement,,2,4110,Toxicité aiguë catégorie 1,,
274,0065.00348,4110,,1,2009-12-15,En fonctionnement,,1,4110,Toxicité aiguë catégorie 1,,
275,0065.00348,4120,,2,,En fonctionnement,,2,4120,Toxicité aiguë catégorie 2,,
276,0065.00348,2260,D,b,2009-12-15,En fonctionnement,D,2b,2260,Supérieure à 100 kW mais inférieure ou égale à 500 kW,320.000,kW
277,0065.00348,2160,A,a,2009-12-15,En fonctionnement,A,2a,2160,Silos autres que plats autorisés,32487.000,m3
278,0065.00354,2712,E,1,2014-11-12,En fonctionnement,E,1b,2712,"Stockage, dépollution, démontage,… de VHU",9896.000,m2
279,0065.00354,2713,D,2,2012-06-26,En fonctionnement,D,2,2713,Métaux et déchets de métaux (transit),500.000,m2
280,0065.00377,1435,,,2014-01-29,En fonctionnement,,,1435,Stations service,20.000,m3
281,0065.00377,3642,A,a,2002-03-29,En fonctionnement,A,1,2260,Production d'aliments à partir de matières premières végétales - capacité > 300 t/j,480.000,t/j
282,0065.00377,47xx,,,,En fonctionnement,,,47xx,,,
285,0065.00377,2160,E,a,2002-03-29,En fonctionnement,E,1a,2160,Silos plats enregistré,47230.000,m3
286,0065.00377,2910,E,1,2002-03-29,En fonctionnement,A,A1,2910,Combustion,42.200,MW
287,0065.00381,47xx,,,,En fonctionnement,,,47xx,,,
290,0065.00382,2718,D,2,,En fonctionnement,D,2,2718,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),0.990,t
291,0065.00382,2160,A,a,,En fonctionnement,A,2a,2160,Silos autres que plats autorisés,24510.000,m3
292,0065.00382,2260,D,b,,En fonctionnement,D,2b,2260,Supérieure à 100 kW mais inférieure ou égale à 500 kW,350.000,kW
295,0065.00382,4510,D,2,,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
296,0065.00382,4130,,2,,En fonctionnement,,2,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
297,0065.00382,4130,,1,,En fonctionnement,,1,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
298,0065.00382,4120,,2,,En fonctionnement,,2,4120,Toxicité aiguë catégorie 2,,
299,0065.00382,4120,,1,,En fonctionnement,,1,4120,Toxicité aiguë catégorie 2,,
300,0065.00382,4110,,2,,En fonctionnement,,2,4110,Toxicité aiguë catégorie 1,,
301,0065.00382,4510,D,2,,En fonctionnement,D,3,1172,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
302,0065.00382,4110,,1,,En fonctionnement,,1,4110,Toxicité aiguë catégorie 1,,
303,0065.00382,4330,,,,En fonctionnement,,,4330,Liquides inflammables de catégorie 1,,
304,0065.00382,2910,D,2,,En fonctionnement,D,A2,2910,Combustion,9.400,MW
306,0065.00382,4150,,,,En fonctionnement,,,4150,Toxicité spécifique pour certains organes cibles,,
307,0065.00382,4140,,1,,En fonctionnement,,1,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
309,0065.00382,4331,,,,En fonctionnement,,,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
310,0065.00382,4140,,2,,En fonctionnement,,2,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
311,0065.00382,4511,,,,En fonctionnement,,,4511,Dangereux pour l’environnement aquatique 2,,
312,0065.00382,2714,,,,En fonctionnement,,,2714,"Transit, regroupement ou tri de déchets non dangereux de papiers/cartons, plastiques, caoutchouc, textiles, bois",99.000,
314,0065.00384,1131,D,2c,2011-02-14,En fonctionnement,D,2c,1131,Toxiques (emploi ou stockage),2.350,t
315,0065.00384,2565,E,a,2011-02-14,En fonctionnement,A,2a,2565,Traitement de surface,6457.000,L
316,0065.00384,1111,A,2b,2011-02-14,En fonctionnement,A,2b,1111,Très toxiques (emploi ou stockage),0.500,t
317,0065.00415,2910,E,1,2000-04-14,En fonctionnement,A,A1,2910,Combustion,22.300,MW
318,0065.00415,1432,D,b,2000-04-14,En fonctionnement,D,2b,1432,Liquides inflammables (stockage),36.600,m3
319,0065.00442,2921,D,b,2016-03-01,En fonctionnement,D,b,2921,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,2800.000,kW
320,0065.00442,1432,D,b,1994-12-20,En fonctionnement,D,2,253,Liquides inflammables (stockage),300.000,m3
321,0065.00442,1434,A,a,1994-12-20,En fonctionnement,A,1a,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,30.000,m3/h
322,0065.00460,2712,E,1,,En fonctionnement,E,1,2712,"Stockage, dépollution, démontage,… de VHU",5000.000,m2
323,0065.00462,2713,E,1,2011-02-22,En fonctionnement,A,1,2713,Métaux et déchets de métaux (transit),1750.000,m2
324,0065.00462,2712,E,1,2014-11-12,En fonctionnement,E,1b,2712,"Stockage, dépollution, démontage,… de VHU",925.000,m2
325,0065.00471,2565,E,a,1999-03-25,En fonctionnement,,1,288,Traitement de surface,4600.000,L
326,0065.00490,2714,E,1,2009-11-10,En fonctionnement,A,1,2714,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",5610.000,m3
327,0065.00490,1432,,,2011-03-29,En fonctionnement,,,1432,Liquides inflammables (stockage),1.000,m3
328,0065.00490,2715,D,,2009-11-10,En fonctionnement,D,,2715,"Transit, regroupement ou tri de déchets non dangereux de verre",360.000,m3
329,0065.00490,2716,D,2,2009-11-10,En fonctionnement,D,2,2716,déchets non dangereux non inertes (transit),10000.000,t
330,0065.00490,2791,A,1,2009-11-10,En fonctionnement,A,1,2791,Déchets non dangereux (traitement),56.000,t/j
331,0065.00490,1435,,,2011-03-29,En fonctionnement,,,1435,Stations service,8.000,m3
332,0065.00490,2713,,,2011-03-29,En fonctionnement,,,2713,"Transit, regroupement ou tri de métaux ou de déchets de métaux non dangereux",90.000,m2
333,0065.00498,2713,E,1,,En fonctionnement,E,1,2713,Métaux et déchets de métaux (transit),15000.000,m2
334,0065.00498,2791,A,1,,En fonctionnement,A,1,2791,Déchets non dangereux (traitement),195.000,t/j
335,0065.00498,1435,,,,En fonctionnement,,,1435,Stations service,90.000,m3
336,0065.00498,47xx,,,,En fonctionnement,,,47xx,,,
337,0065.00498,3532,A,,,En fonctionnement,A,,3532,Valorisation de déchets non dangereux,180.000,t/j
338,0065.00498,4310,,,,En fonctionnement,,,4310,Gaz inflammables catégorie 1 et 2.,,
340,0065.00498,2716,D,2,,En fonctionnement,D,2,2716,déchets non dangereux non inertes (transit),700.000,m3
341,0065.00498,2711,D,2,,En fonctionnement,D,2,2711,"Transit, regroupement, tri, ...équipements électriques mis au rebut",170.000,m3
342,0065.00498,2712,E,1,2014-11-12,En fonctionnement,E,1,2712,"Stockage, dépollution, démontage,… de VHU",1000.000,m2
343,0065.00498,2718,A,1,,En fonctionnement,A,1,2718,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),40.000,t
344,0065.00498,2714,D,2,,En fonctionnement,D,2,2714,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",230.000,m3
345,0065.00510,2663,,1,1991-01-30,En fonctionnement,,1,2663,Stockage de pneumatiques alvéolaires ou expansés,10.000,m3
346,0065.00510,1510,E,b,1991-01-30,En fonctionnement,E,2,1510,Entrepot enregistré,200000.000,m3
347,0065.00510,1530,,,1996-03-11,En fonctionnement,,,1530,"Dépôts de papiers, cartons ou analogues",1000.000,m3
348,0065.00510,2662,,,1991-01-30,En fonctionnement,,,2662,Stockage de polymères,10.000,m3
349,0065.00510,2560,D,2,1991-01-30,En fonctionnement,D,2,2560,"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW",300.000,kW
350,0065.00510,2930,D,b,2002-01-08,En fonctionnement,D,1b,2930,Ateliers de réparation et entretien de véhicules à moteur,2736.000,m2
351,0065.00510,2921,E,a,2004-12-01,En fonctionnement,E,a,2921,La puissance thermique évacuée maximale étant supérieure ou égale à 3000 kW,59568.000,kW
352,0065.00510,2925,D,2,1991-10-15,En fonctionnement,D,2,2925,Charge d'accumulateurs ne dégageant pas d''hydrogène,264.200,kW
353,0065.00510,2410,D,2,,En fonctionnement,D,2,2410,"Supérieure à 50 kW, mais inférieure ou égale à 250 kW",175.000,kW
354,0065.00510,1435,D,2,1992-04-01,En fonctionnement,D,2,1435,Stations-service,2050.000,m3
355,0065.00510,2661,,2,1991-01-30,En fonctionnement,,2,2661,"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)",0.100,t/j
356,0065.00510,1185,D,,2018-12-11,En fonctionnement,D,,1185,Quantité de fluide susceptible d'être présente,2000.000,l
357,0065.00510,2575,D,,1991-01-30,En fonctionnement,D,,2575,Emploi de matières abrasives,23.000,kW
358,0065.00510,2661,,1,1991-01-30,En fonctionnement,,1,2661,"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)",0.100,t/j
359,0065.00510,2940,,2,1991-01-30,En fonctionnement,,2,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",5.000,kg/j
360,0065.00510,47xx,,,,En fonctionnement,,,47xx,,,
361,0065.00510,2910,E,1,1991-01-30,En fonctionnement,E,1,2910,Combustion,48.000,MW
362,0065.00510,1185,D,,,En fonctionnement,D,,1185,Quantité susceptible d'être présente,10446.000,kg
363,0065.00547,2910,D,2,1998-04-29,En fonctionnement,D,A2,2910,Combustion,2.110,MW
364,0065.00547,2795,A,1,1998-04-29,En fonctionnement,A,1,2795,"Lavage de fûts, conteneurs,... de substances ou mélanges ou de déchets dangereux",40.000,m3/j
365,0065.00547,1510,D,c,1998-04-29,En fonctionnement,D,3,1510,Entrepot déclaré,12000.000,m3
366,0065.00547,1611,,,1998-04-29,En fonctionnement,,,1611,"ACIDE ACETIQUE, CHLORHYDRIQUE, FORMIQUE,ETC (EMPLOI OU STOCKAGE)",300.000,kg
367,0065.00547,1212,,6,1998-04-29,En fonctionnement,,6,1212,PEROXYDES ORGANIQUES (EMPLOI ET STOCKAGE),100.000,kg
368,0065.00568,2220,D,b,2003-01-10,En fonctionnement,D,2,2220,"Supérieure à 2 t/j, mais inférieure ou égale à 10 t/j",2.500,t/j
369,0065.00568,2221,E,1,2003-01-10,En fonctionnement,A,1,2221,Supérieure à 4t/j,4.000,t/j
370,0065.00568,2910,D,2,2003-01-10,En fonctionnement,D,A2,2910,Combustion,14.800,MW
371,0065.00568,1432,D,b,1990-04-03,En fonctionnement,D,2,253,Liquides inflammables (stockage),300.000,m3
372,0065.00568,2925,D,1,2003-01-10,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,342.600,kW
373,0065.00568,1435,E,1,,En fonctionnement,A,1,1435,Stations-service,10640.000,m3
374,0065.00568,1412,,,2003-01-10,En fonctionnement,,,1412,Gaz inflammables liquéfiés (stockage),0.000,t
375,0065.00580,1510,E,b,1993-05-06,En fonctionnement,E,2,1510,Entrepot enregistré,99000.000,m3
376,0065.00580,1185,,2,2017-09-11,En fonctionnement,,2,4802,,,
377,0065.00580,2925,D,1,1993-05-06,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,23.760,kW
378,0065.00580,1532,D,b,2010-02-22,En fonctionnement,D,3,1532,Stockage bois déclaré,1432.000,m3
379,0065.00591,2925,D,1,1999-07-16,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,120.000,kW
380,0065.00591,1510,E,b,1999-07-16,En fonctionnement,E,2,1510,Entrepot enregistré,227000.000,m3
381,0065.00595,1510,A,a,2011-11-18,En fonctionnement,A,1,1510,Entrepot autorisé,360000.000,m3
382,0065.00595,1432,D,b,2011-11-18,En fonctionnement,D,2b,1432,Liquides inflammables (stockage),19.000,m3
383,0065.00595,1412,D,2b,1998-06-30,En fonctionnement,D,B2b,211,Gaz inflammables liquéfiés (stockage),0.000,kg
384,0065.00595,47xx,,,,En fonctionnement,,,47xx,,,
385,0065.00595,2662,A,a,1998-06-30,En fonctionnement,A,2a,2662,"MATIERES PLASTIQUES, CAOUTCHOUC...(STOCKAGE DE)",10000.000,m3
386,0065.00595,2662,A,a,2011-11-18,En fonctionnement,A,1a,2662,"MATIERES PLASTIQUES, CAOUTCHOUC...(STOCKAGE DE)",45000.000,m3
387,0065.00595,1530,D,2,2011-11-18,En fonctionnement,D,2,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",19000.000,m3
388,0065.00595,2910,D,2,2011-11-18,En fonctionnement,D,A2,2910,Combustion,2.320,MW
389,0065.00595,2925,D,1,1998-06-30,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,105.000,kW
390,0065.00596,1510,E,b,1998-04-10,En fonctionnement,E,2,1510,Entrepot enregistré,143250.000,m3
391,0065.00596,2910,D,2,1998-04-10,En fonctionnement,D,2,2910,Combustion,1.400,MW
392,0065.00596,1412,D,2b,1998-04-10,En fonctionnement,D,2b,1412,Gaz inflammables liquéfiés (stockage),0.000,t
393,0065.00596,2925,D,1,1998-04-10,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,75.000,kW
394,0065.00599,2920,D,2b,2011-01-24,En fonctionnement,D,2b,2920,Réfrigération ou compression (installation de) pression >10E5 Pa,280.000,kW
395,0065.00599,2663,E,a,2011-01-24,En fonctionnement,E,2b,2663,Stockage de pneumatiques,35840.000,m3
396,0065.00599,2925,D,1,2011-01-24,En fonctionnement,D,1,2925,Charge d'accumulateurs dégageant de l'hydrogène,500.000,kW
397,0065.00599,1412,,,,En fonctionnement,,,1412,Gaz inflammables liquéfiés (stockage),5.000,t
398,0065.00599,2663,E,a,2011-01-24,En fonctionnement,E,1b,2663,Stockage de pneumatiques alvéolaires ou expansés,35840.000,m3
399,0065.00599,2910,D,2,2011-01-24,En fonctionnement,D,2,2910,Combustion,2.700,MW
400,0065.00599,1532,A,1,2011-01-24,En fonctionnement,A,1,1532,Bois ou analogues (dépôt de) dégageant poussières inflammables,35840.000,m3
401,0065.00599,2662,E,1,2011-01-24,En fonctionnement,E,2,2662,Stockage de polymères enregistré,35840.000,m3
402,0065.00599,1530,E,1,2011-01-24,En fonctionnement,E,2,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",35840.000,m3
403,0065.00599,1450,D,2,,En fonctionnement,D,2,1450,Solides inflammables,0.900,kg
404,0065.00599,1510,A,a,2011-01-24,En fonctionnement,A,1,1510,Entrepot autorisé,404495.000,m3
405,0065.00600,2910,,,1996-09-18,En fonctionnement,,,2910,Installation de combustion,0.000,
406,0065.00600,2925,D,1,1996-09-18,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,10.000,kW
407,0065.00600,1510,E,b,1996-09-18,En fonctionnement,E,2,1510,Entrepot enregistré,212500.000,m3
408,0065.00604,1414,D,3,,En fonctionnement,D,3,1414,Gaz inflammables liquéfiés (remplissage ou distribution),5000.000,
409,0065.00604,1510,E,b,1994-02-17,En fonctionnement,E,2,1510,Entrepot enregistré,191646.000,m3
410,0065.00604,1412,D,2b,,En fonctionnement,D,B1b,211,Gaz inflammables liquéfiés (stockage),30.000,m3
411,0065.00620,2910,,A,1999-10-08,En fonctionnement,,A,2910,Combustion,2.500,MW
412,0065.00620,2925,D,1,1999-10-08,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,150.000,kW
413,0065.00620,1510,A,a,1999-10-08,En fonctionnement,A,1,1510,Entrepot autorisé,196710.000,m3
414,0065.00627,1510,A,a,2002-06-21,En fonctionnement,A,1,1510,Entrepot autorisé,93765.000,m3
415,0065.00627,2925,D,1,2002-06-21,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,60.000,kW
416,0065.00629,2925,D,1,1998-02-13,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,20.000,kW
417,0065.00629,2910,D,2,2020-06-15,En fonctionnement,D,2,2910,Combustion,1.500,MW
418,0065.00629,2910,D,2,1998-02-13,En fonctionnement,D,A2,2910,Combustion,12.000,MW
419,0065.00629,1510,E,b,,En fonctionnement,E,2,1510,Entrepot enregistré,222855.000,m3
420,0065.00632,1510,E,b,2018-01-15,En fonctionnement,E,2,1510,Entrepot enregistré,163.000,m3
421,0065.00632,2925,D,1,2000-08-28,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,125.000,kW
422,0065.00634,1510,A,a,1995-06-09,En fonctionnement,A,1,1510,Entrepot autorisé,81000.000,m3
423,0065.00639,1185,D,,1202-10-03,En fonctionnement,D,,1185,Quantité susceptible d'être présente,1100.000,kg
424,0065.00639,1511,D,2,,En fonctionnement,D,3,1511,Entrepôts frigorifiques,16341.000,m3
425,0065.00639,2925,D,1,1995-06-30,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,100.000,kW
426,0065.00639,1185,D,,2016-06-09,En fonctionnement,D,a,4802,Quantité susceptible d'être présente,,
427,0065.00639,1510,E,b,1995-06-30,En fonctionnement,E,2,1510,Entrepot enregistré,103700.000,m3
428,0065.00639,2910,D,2,2006-05-09,En fonctionnement,D,A2,2910,Combustion,3.150,MW
431,0065.00640,2565,E,a,1982-06-16,En fonctionnement,A,2a,2565,Traitement de surface,432000.000,L
432,0065.00640,2567,A,a,1982-06-16,En fonctionnement,A,,2567,Supérieur à 1000 l,72.000,m3
